Store Name,Longitude,Latitude
东莞观澜湖高尔夫分店,114.01,22.78
东莞景湖时代城店,113.75,23
东莞大朗中央盛景店,113.93,22.93
东莞黄江天虹店,114.01,22.91
东莞星河传说店,113.79,23.02
中山盛景尚峰店,113.4,22.51
中山兴中广场分店,113.37,22.52
中山假日广场店,113.39,22.52
中山石岐大信新都汇店,113.38,22.53
中山小榄百汇时代广场店,113.23,22.69
中山益华店,113.38,22.51
中山小榄大信皇冠假日店,113.25,22.67
中山喜来登店,113.37,22.52
中山远洋城大信新都汇店,113.42,22.5
中山利和广场分店,113.38,22.51
中山古镇星光联盟店,113.19,22.61
佛山顺德服务区西区店,113.27,22.92
佛山南海万科广场店,113.16,23.04
佛山和信广场店,113.01,23.12
佛山南海嘉信茂广场店,113.14,23.03
佛山大良嘉信城市广场店,113.29,22.79
佛山东方广场店,113.12,23.04
佛山大良东乐路店,113.27,22.83
佛山西樵富盛广场店,112.99,22.94
佛山顺联国际广场店,113.11,23.01
佛山越秀悦汇天地店,113.14,23.03
佛山山海名门店,113.21,23.17
佛山季华园店,113.11,23.01
佛山三水广场店,112.89,23.17
佛山陈村顺联店,113.24,22.95
佛山顺德乐从星光广场店,113.11,22.95
佛山中海环宇城店,113.16,23.05
佛山三水万达店,112.9,23.18
佛山顺德永旺购物中心店,113.27,22.83
佛山大良新世界酒店分店,113.26,22.84
佛山吉利购物广场店,113.02,22.97
佛山龙江盈信广场店,113.08,22.87
佛山恒福广场咖啡店,112.89,23.16
佛山铂顿店,113.11,23.03
佛山岭南站2店,113.11,23.03
佛山顺德服务区东区店,113.27,22.92
佛山南海万达广场店,113.16,23.06
佛山佛山岭南天地店,113.12,23.03
佛山创意产业园店,113.1,23.01
佛山岭南站1店,113.11,23.03
佛山顺德天佑城,113.27,22.76
佛山南海桂平西路店,113.16,23.03
佛山佛罗伦萨小镇店,113.23,23.01
佛山保利水城店,113.15,23.06
广州新粤新分店,113.28,23.14
广州保利香缤花园店,113.32,23.12
广州花城大道东分店,113.34,23.12
广州立白中心店,113.24,23.1
广州维多利广场店,113.32,23.13
广州中国联通大厦店,113.35,23.13
广州区庄新大新店,113.29,23.14
广州白云凯德云尚分店,113.27,23.18
广州番禺星河湾店,113.33,23.03
广州珠影星光城店,113.32,23.1
广州太阳新天地店,113.34,23.12
广州东方汇店,113.25,23.11
广州滨江壹号店,113.29,23.1
广州增城万达广场分店,113.82,23.28
广州天河城店,113.32,23.13
广州美东百货店,113.3,23.13
广州东峻广场店,113.31,23.13
广州合生广场店,113.31,23.09
广州华亿丽晶店,113.32,23.12
广州白云机场3店,113.31,23.39
广州太古汇店,113.33,23.13
广州交易广场店,113.26,23.13
广州万国广场店,113.27,23.1
广州南站店,113.27,22.99
广州西城都荟店,113.24,23.11
广州邦华环球国际分店,113.32,23.12
广州正佳万豪分店,113.33,23.13
广州高德置地春店,113.32,23.12
广州花城汇3区分店,113.32,23.12
广州保利克洛维店,113.32,23.13
广州萝岗万达店,113.47,23.17
广州越秀北分店,113.27,23.14
广州中山3路2号店,113.29,23.13
广州百福广场店,113.33,23.14
广州铂丽廊广场分店,113.31,23.1
广州尚德大厦分店,113.34,23.14
广州东山锦轩店,113.3,23.13
广州花城汇2分店,113.32,23.12
广州白云万达2店,113.27,23.17
广州富力中心店,113.32,23.12
广州新鸿基天汇广场1店,113.33,23.12
广州番禺宾馆店,113.37,22.94
广州百脑汇店,113.34,23.13
广州江南新地店,113.27,23.09
广州番禺奥圆广场店,113.36,22.92
广州凤凰城分店,113.57,23.13
广州兴业银行大厦分店,113.32,23.13
广州淘金店,113.29,23.14
广州南国商苑店,113.34,23.13
广州花城汇一区店,113.32,23.13
广州市二宫盘丰广场店,113.27,23.11
广州保利中环店,113.28,23.14
广州赤岗北路店,113.33,23.1
广州中石化大厦店,113.32,23.14
广州香柏广场店,113.32,23.18
广州新港82分店,113.3,23.09
广州天河北龙口店,113.34,23.14
广州星巴克西塔国金天地分店,113.32,23.12
广州天河东75号分店,113.33,23.14
广州白云机场2店,113.3,23.39
广州正佳广场1店,113.33,23.13
广州星海音乐厅店,113.31,23.11
广州上街东方都会广场店,113.36,23.13
广州中信广场2分店,113.32,23.14
广州动漫星城2店,113.26,23.13
广州增城东汇城分店,113.82,23.28
广州塔分店,113.32,23.11
广州天誉花园店,113.33,23.14
花城湾店,113.33,23.12
广州万科派店,113.28,23.08
广州天环广场店,113.32,23.13
广州中国大酒店店,113.26,23.14
广州中华广场店,113.28,23.13
广州高德地置地冬广场店,113.33,23.12
广州东方文德店,113.27,23.12
广州番禺永旺梦乐城分店,113.39,22.94
广州名盛广场店,113.27,23.12
广州新光百货店,113.25,23.12
广州白云机场1店,113.31,23.39
广州番禺钻汇广场分店,113.36,22.95
广州琶洲会展中心B馆店,113.36,23.1
广州沙面店,113.24,23.11
广州广百新一城店,113.27,23.09
广州金利来大厦店,113.33,23.14
广州保利中汇分店,113.32,23.15
广州中海璟晖店,113.33,23.12
广州番禺荔园新天地分店,113.35,22.92
广州中信广场店,113.33,23.14
广州万达店,113.27,23.17
广州全球通店,113.32,23.12
广州高德置地秋广场店,113.33,23.12
广州昌岗合生生活广场店,113.28,23.09
广州好世界广场店,113.29,23.14
广州#5停机坪店,113.27,23.18
广州花都广百店,113.23,23.4
广州北京路新大新店,113.27,23.13
广州东圃天银店,113.4,23.12
广州东站店,113.32,23.15
广州南沙万达广场店,113.53,22.8
广州正佳2分店,113.33,23.13
广州嘉裕太阳城店,113.33,23.19
广州番禺万达广场分店,113.35,23.01
广州动漫星城店,113.27,23.13
广州三元里卜蜂莲花店,113.26,23.16
广州信华花园分店,113.36,23.14
广州中华广场2店,113.28,23.13
惠州西湖丽日店,114.4,23.09
惠州华茂天地店,114.42,23.1
惠州天虹店,114.41,23.07
惠州佳兆业广场店,114.42,23.12
惠州港惠店,114.42,23.07
惠州惠阳永旺分店,114.45,22.79
惠州隆生广场店,114.42,23.08
梅州万达分店,116.14,24.27
汕头星湖城分店,116.75,23.37
汕头苏宁广场店,116.72,23.36
汕头卜峰中心分店,116.71,23.39
汕头澄海猛狮国际广场店,116.76,23.47
江门万达店,113.08,22.62
江门星汇广场店,113.04,22.52
江门鹤山广场店,112.98,22.77
江门益华广场店,113.08,22.6
江门金蓝海广场店,113.08,22.58
江门汇悦城店,113.08,22.61
深圳龙岗广百店,114.25,22.72
深圳龙岗万科店,114.24,22.72
深圳南海意库店,113.92,22.49
深圳华强广场酒店店,114.09,22.54
深圳中心书城店,114.06,22.55
深圳横岗松柏天虹分店,114.21,22.65
深圳坂田天安云谷店,114.07,22.66
深圳前海企业公馆店,113.9,22.52
深圳港隆城分店,113.88,22.58
深圳南山茂业店,113.93,22.52
深圳欢乐海岸店,113.99,22.52
深圳世界金融中心店,114.11,22.54
深圳市园岭分店,114.1,22.55
深圳机场第三航站楼三店,113.82,22.62
深圳欢乐谷店,113.98,22.54
深圳海岸城店,113.94,22.52
深圳联投东方店,113.86,22.76
深圳蛇口花园城店,113.92,22.5
深圳联通大厦店,114.05,22.54
深圳投行大厦店,114.05,22.54
深圳8号仓分店,114.06,22.62
深圳华侨城大峡谷店,114.3,22.61
深圳星河苏活购物公园店,114.05,22.53
深圳天虹广场店,114.05,22.53
深圳比克大厦分店,113.93,22.54
深圳东门1234店,114.12,22.54
深圳丰盛町店,114.02,22.54
深圳万象城店,114.11,22.54
深圳西丽大学城店,113.97,22.59
深圳机场第三航站楼二店,113.81,22.63
深圳御景东方店,113.97,22.53
深圳宝能太古城店,113.94,22.5
深圳坂田天虹分店,114.06,22.63
深圳前进天虹店,113.89,22.58
深圳天安数码城店,114.03,22.53
深圳观澜湖新城店,114.07,22.72
深圳高新区店,113.95,22.54
深圳康佳大厦分店,113.96,22.54
深圳中信城市广场店,114.1,22.54
深圳后海君尚店,113.94,22.51
深圳喜荟城店,114.14,22.57
深圳百花店,114.1,22.55
深圳观澜湖会所店,114.08,22.74
深圳布吉佳兆业店,114.13,22.61
深圳学府路店,113.93,22.53
深圳东门茂业店,114.12,22.55
深圳华南城店,114.12,22.68
深圳京基百纳空间店,114.11,22.54
深圳庐山酒店分店,114.12,22.54
深圳欢乐颂店,113.92,22.54
深圳龙华佐阾荟店,114.03,22.63
深圳机场第三航站楼一店,113.81,22.63
深圳益田假日广场店,113.98,22.54
深圳宝安海雅缤纷城店,113.91,22.56
深圳国贸天虹店,114.12,22.54
深圳龙华九方分店,114.02,22.63
深圳龙岗星河时代店,114.23,22.69
深圳嘉里中心店,114.06,22.54
深圳西乡天虹店,113.86,22.58
深圳皇庭广场分店,114.06,22.53
深圳信和春天店,113.93,22.51
深圳梅林卓悦汇店,114.06,22.57
深圳华强北九方二店,114.08,22.54
深圳新港广场分店,114.05,22.52
深圳鼎城国际店,114.08,22.54
深圳宝安中洲店,113.91,22.57
深圳龙华人民北店,114.02,22.66
深圳保利文化广场分店,113.94,22.52
深圳购书中心店,114.1,22.54
深圳软件园产业基地店,113.94,22.52
深圳龙华佐阾香颂分店,114.04,22.63
深圳佳宁娜友谊广场店,114.12,22.54
深圳北站分店,114.03,22.61
深圳坂田第五园店,114.07,22.62
深圳华强北九方店,114.08,22.54
深圳地王大厦店,114.11,22.54
深圳湾体育中心店,113.95,22.52
深圳星都豪庭店,114.14,22.61
深圳大梅沙奥特莱斯店,114.31,22.6
深圳宝安泰华店,113.88,22.56
深圳东方雅苑店,114.06,22.52
深圳音乐厅店,114.06,22.55
深圳怡景中心城店,114.06,22.54
深圳观澜天虹店,114.05,22.7
深圳宝安海雅缤纷城2店,113.91,22.56
深圳民乐星河盛世分店,114.05,22.6
深圳翠竹路店,114.13,22.56
深圳盐田壹海城分店,114.24,22.55
深圳海上世界店,113.92,22.48
深圳华强北茂业店,114.09,22.55
深圳龙岗摩尔城店,114.27,22.72
深圳梅林虹湾店,114.04,22.56
深圳京基100大厦分店,114.11,22.54
深圳罗湖书城店,114.11,22.54
深圳南山书城店,113.93,22.52
深圳新沙天虹店,113.8,22.73
深圳金光华店,114.12,22.54
深圳华侨城Loft店,113.99,22.54
深圳东海坊分店,114.02,22.54
深圳熙璟城分店,114.14,22.68
深圳昇逸酒店分店,114.13,22.55
深圳天健大厦分店,114.05,22.55
深圳侨城街店,113.98,22.54
深圳东海缤纷天地店,114.02,22.54
深圳松岗天虹店,113.85,22.76
深圳世纪汇分店,114.08,22.54
深圳海岸城2店,113.94,22.52
深圳东门鸿展广场店,114.12,22.55
深圳五洲星苑店,114.05,22.54
深圳留仙洞店,113.94,22.58
深圳深国投广场分店,114.01,22.54
深圳凤凰大厦店,114.06,22.54
深圳凤凰路店,114.13,22.55
清远万达广场店,113.01,23.71
湛江万达广场店,110.4,21.25
湛江国贸大厦店,110.41,21.2
湛江鼎盛广场店,110.4,21.21
湛江世贸大厦店,110.37,21.27
珠海扬名广场分店,113.58,22.28
珠海中珠大厦店,113.55,22.22
珠海九洲港店,113.59,22.24
珠海中邦酒店店,113.59,22.25
珠海招商花园城店,113.53,22.26
珠海富华里店,113.54,22.23
珠海华发世纪城店,113.53,22.21
珠海华发商都1分店,113.51,22.22
珠海华发商都分店,113.51,22.22
珠海仁恒星园,113.53,22.27
珠海钰海万国汇分店,113.57,22.25
珠海摩尔百货店,113.55,22.23
珠海乐世界店,113.51,22.27
珠海国贸店,113.58,22.26
肇庆星湖国际店,112.47,23.05
阳江百利广场分店,111.97,21.85
北海和安商港店,109.11,21.47
南宁青秀万达广场分店,108.37,22.83
南宁万象城2店,108.39,22.81
南宁华润大厦店,108.39,22.81
南宁吴圩机场店,108.17,22.61
南宁民歌湖分店,108.37,22.81
南宁航洋国际店,108.38,22.81
南宁盛天地分店,108.4,22.81
南宁梦之岛水晶城,108.37,22.82
南宁百盛分店,108.32,22.81
南宁世贸西城店,108.29,22.83
南宁安吉万达广场分店,108.29,22.87
南宁万象城店,108.39,22.81
柳州柳南万达广场店,109.39,24.29
柳州银泰城店,109.41,24.3
柳州五星乐和城分店,109.44,24.32
柳州万达广场店,109.44,24.33
柳州五星商厦店,109.41,24.31
柳州步步高店,109.41,24.32
桂林高新万达分店,110.32,25.24
桂林梦之岛店,110.29,25.27
三亚百花谷分店,109.64,18.23
三亚迎宾路分店,109.5,18.27
三亚夏日百货分店,109.52,18.22
三亚金润豪庭店,109.51,18.25
三亚凤凰机场店,109.41,18.31
三亚明珠广场店,109.5,18.26
儋州夏日广场店,109.59,19.53
海口名门广场分店,110.35,20.02
海口万达广场店,110.28,19.98
海口盛达景都分店,110.37,20.02
海口望海国际分店,110.34,20.03
海口人民大道店,110.34,20.06
海口玉沙京华城店,110.32,20.03
海口美兰机场分店,110.46,19.94
海口滨江海岸店,110.35,20.05
海口新海航大厦分店,110.34,20.02
重庆新世纪凯瑞商都店,106.46,29.56
重庆冉家坝SM广场店,106.5,29.58
重庆星光天地店,106.53,29.63
重庆晶郦馆店,106.51,29.6
重庆时代天街店,106.51,29.54
重庆城市阳台店,106.58,29.56
重庆北城天街店,106.53,29.58
重庆沙坪坝店,106.46,29.56
重庆长嘉汇店,106.58,29.58
重庆英利国际广场店,106.52,29.54
重庆南坪万达II店,106.57,29.53
重庆上海城店,106.56,29.53
重庆金贸中心店,106.57,29.64
重庆紫荆商业广场店,106.53,29.59
重庆盛汇新世纪店,106.57,29.53
重庆北城天街北店,106.53,29.58
重庆九街店,106.55,29.58
重庆江北茂业店,106.53,29.58
重庆商业大厦店,106.58,29.56
重庆香江财富中心店,106.51,29.61
重庆火车北站店,106.55,29.61
重庆西城天街店,106.52,29.51
重庆机场店,106.64,29.71
重庆时代天街Ⅱ店,106.51,29.54
重庆龙湖U城天街店,106.29,29.61
重庆新天泽国际广场店,106.48,29.47
重庆富安百货店,106.51,29.51
重庆大学城熙街店,106.3,29.6
重庆观音桥阳光新世纪店,106.53,29.58
重庆大融城店,106.53,29.58
重庆美美时代广场店,106.58,29.56
重庆万达店,106.57,29.53
重庆NOVO店,106.57,29.56
重庆万象城店,106.52,29.52
重庆北城天街3楼店,106.53,29.58
重庆西部奥特莱斯店,106.57,29.63
重庆巴南万达店,106.54,29.39
重庆民族店,106.58,29.56
重庆国泰广场店,106.58,29.56
重庆东源1891店,106.59,29.55
重庆金港国际店,106.63,29.72
乐山万达分店,103.72,29.6
德阳洋洋百货店,104.39,31.13
德阳万达店,104.42,31.16
成都海洋中心店,104.07,30.55
成都世代锦江,104.06,30.65
成都天府水街店,104.05,30.56
成都雅颂居,104.04,30.55
成都金融城,104.07,30.58
成都奥克斯广场店,104.06,30.58
成都环球中心店,104.07,30.57
都江堰百伦百货店,103.64,30.99
成都锦里店,104.05,30.64
成都龙湖三千集店,104.11,30.67
成都威斯顿店,104.07,30.62
成都青羊万达1F店,103.97,30.68
成都龙湖金楠天街店,104,30.65
成都时代奥特莱斯店,103.95,30.6
成都苏宁广场店,104.07,30.6
成都凯德天府店,104.07,30.6
成都财富又一城店,104.09,30.68
成都来福士店,104.07,30.63
成都银泰中心店,104.07,30.59
成都天府地铁中心城,104.07,30.66
成都华阳戛纳湾店,104.06,30.52
成都银石广场店,104.08,30.65
成都仁恒Office店,104.07,30.65
成都北城天街分店,104.07,30.71
成都仁和春天光华店,104.02,30.66
成都春熙商汇店,104.08,30.66
成都春熙坊店,104.08,30.66
成都金牛凯德分店,104.04,30.7
成都双流万达店,103.93,30.6
成都双楠鹭岛店,104.01,30.65
成都来福士II店,104.07,30.63
成都富力大厦店,104.07,30.66
成都南熙里分店,104.07,30.59
成都青羊万达店,103.97,30.68
成都新城市广场店,104.06,30.67
成都航天大厦店,104.07,30.65
成都丰德国际广场店,104.07,30.62
成都曙光国际店,104.06,30.59
成都蜀都万达店,103.91,30.81
成都东御店,104.07,30.66
成都优品道广场店,104.01,30.66
成都明宇金融广场店,104.09,30.65
成都九方店,104.07,30.59
成都锦华万达广场店,104.1,30.62
成都凯丹广场店,104.06,30.6
成都机场T2店,103.95,30.54
成都倍特店,104.06,30.67
成都双楠人人乐店,104.03,30.64
成都龙湖时代天街,103.92,30.75
成都世豪广场店,104.05,30.55
成都太古里二店,104.08,30.65
成都铁狮门晶融汇店,104.08,30.65
成都广场店,104.07,30.66
成都青羊工业园店,103.96,30.68
成都机场T1店,103.95,30.58
成都339欢乐颂,104.09,30.66
成都宽窄巷子店,104.05,30.66
成都中海大厦店,104.02,30.65
成都时代百盛店,104.08,30.66
成都金沙西单百货,104,30.67
成都天府新谷店,104.06,30.59
成都阳光新业中心店,104.09,30.64
成都财富中心店,104.07,30.65
成都桐梓林大世界店,104.06,30.62
成都锦华路BHG店,103.99,30.57
成都珠江国际店,103.86,30.68
成都华侨城店,104.04,30.72
成都大悦城店,104,30.63
成都中海国际店,103.98,30.72
成都科华王府井店,104.08,30.62
成都茂业二期店,104.07,30.66
成都红牌楼天虹店,104.03,30.63
成都科甲店,104.08,30.66
成都高新欧尚店,104.06,30.6
成都鹏瑞利购物中心店,103.96,30.67
成都国际金融广场6F店,104.08,30.66
成都中粮丽都悦街店,104.03,30.62
成都环球中心II店,104.07,30.57
成都翡翠天地店,104.09,30.61
成都太古里店,104.08,30.65
成都环球乐天店,104.07,30.57
成都嘉信茂沙湾店,104.05,30.69
成都钻石广场店,104.11,30.67
成都建设路伊藤店,104.11,30.67
成都机场三店,103.94,30.52
成都华置广场,104.07,30.66
成都万象城店,104.12,30.65
成都上海花园店,104.05,30.61
成都SM广场店,104.11,30.67
成都国际金融广场B1F,104.08,30.65
成都金牛万达店,104.07,30.69
成都新城吾悦广场店,104.24,30.58
成都银泰城店,104.06,30.54
成都兰桂坊店,104.08,30.64
成都中山群光店,104.08,30.65
成都软件园2期店,104.07,30.54
成都复城国际店,104.06,30.55
成都总府店,104.08,30.66
绵阳涪城万达,104.72,31.45
绵阳大都会百盛店,104.74,31.46
绵阳涪城凯德店,104.74,31.46
贵阳亨特城市广场店,106.72,26.58
贵阳花果园1店,106.69,26.57
贵阳中大国际购物中心店,106.72,26.6
贵阳汇金国际广场店,106.7,26.58
贵阳世纪金源国贸店,106.62,26.6
贵阳智诚百货店,106.71,26.58
贵阳机场店,106.8,26.54
贵阳保利国贸逸天城店,106.72,26.56
贵阳鸿通城店,106.71,26.56
丽江5596,100.24,26.87
丽江国际购物广场店,100.23,26.88
大理红龙井店,100.16,25.69
昆明机场Ⅱ店,102.93,25.1
昆明滨江俊园店,102.72,25.07
昆明柏联广场店,102.71,25.04
昆明美辰百货店,102.7,25.04
昆明邦利嘉年华店,102.74,25.1
昆明金鹰天地店,102.71,25.04
昆明金格奥特莱斯店,102.68,24.99
昆明红星爱琴海店,102.68,24.99
昆明西山万达广场店,102.71,25.01
昆明南亚风情店,102.68,25.01
昆明欣都龙城分店,102.73,25.08
昆明顺城广场店,102.71,25.04
昆明大都店,102.77,24.97
昆明七彩俊园分店,102.73,25.05
昆明机场店,102.93,25.1
昆明翠湖店,102.71,25.05
昆明同德广场店,102.72,25.07
昆明正义坊店,102.71,25.04
昆明世纪金源分店,102.76,24.98
昆明海伦堡店,102.75,24.96
昆明百大新天地店,102.71,25.04
咸阳国际财富中心店,108.71,34.34
宝鸡天下汇购物中心店,107.23,34.35
西安万达店,108.96,34.27
西安子午路银泰店,108.94,34.22
西安苏宁生活广场店,108.96,34.27
西安唐市店,108.97,34.21
西安钟楼店,108.95,34.26
西安小寨金鹰店,108.95,34.22
西安海璟民生店,108.94,34.34
西安机T3店,108.76,34.44
西安赛高金花店,108.95,34.33
西安中大国际店,108.9,34.22
西安银泰店,108.96,34.21
西安长安大学城店,108.91,34.16
西安金桥店,108.89,34.24
西安怡丰城店,108.92,34.23
西安李家村万达店,108.96,34.24
西安北大街店,108.95,34.26
西安大明宫万达店,108.97,34.32
西安立丰百盛店,109,34.25
西安阳光天地店,108.87,34.17
西安高新金花店,108.9,34.23
西安骡马市店,108.95,34.26
西安西恩奥特莱斯店,109.17,34.36
西安未央印象城,108.95,34.29
西安绿地乐和城店,108.97,34.23
西安一品美道店,108.9,34.23
西安曲江金地广场店,108.99,34.2
西安西大街百盛店,108.94,34.26
西安新乐汇民生店,108.96,34.21
西安秦汉唐店,108.96,34.22
西安高新易初莲花,108.89,34.24
西安汉神百货店,108.94,34.34
西安熙地港店,108.95,34.34
西安兵马俑博物馆店,109.29,34.39
西安高新金鹰店,108.9,34.23
西安中贸广场店,108.95,34.24
西安小寨百盛店,108.95,34.22
西安开元店,108.95,34.26
西安旗远锦上店,108.88,34.19
西安大唐西市店,108.91,34.25
西安未央路王府井店,108.94,34.34
兰州城关万达店,103.86,36.06
兰州亚欧商厦店,103.82,36.06
兰州东方红国芳百货店,103.84,36.05
西宁海湖万达店,101.72,36.64
西宁新宁国芳百货,101.76,36.63
西宁力盟商业巷店,101.76,36.63
银川金凤万达店,106.25,38.49
银川新华百货店,106.28,38.46
Citic Tower,114.17,22.28
Admiralty Centre,114.17,22.28
FASHION WALK,114.19,22.28
50 Leighton Road,114.18,22.28
Hysan Place,114.18,22.28
Leighton Centre,114.18,22.28
Tung Lo Wan Road,114.19,22.28
Caine Road,114.15,22.28
Eastern Hospital,114.24,22.27
Fortress Hill,114.19,22.29
Liberte Place,114.15,22.33
50 Connaught Road Central,114.16,22.29
Exchange Square 3,114.16,22.28
MOKO,114.17,22.32
East Point City,114.27,22.32
Lee Gardens,114.18,22.28
World Trade Centre More 4/F,114.18,22.28
Island Resort,114.25,22.27
Sun Kwai Hing Plaza,114.13,22.36
Laguna Mall,114.19,22.31
St. Teresas Hospital,114.18,22.33
Great Eagle Centre,114.17,22.28
Discovery Park,114.11,22.38
HKUST,114.26,22.34
Alexandra House II,114.16,22.28
Shun Tak Centre,114.15,22.29
Star Ferry,114.16,22.29
Empire Centre,114.18,22.3
Hong Kong Station,114.16,22.28
Mei Foo,114.14,22.34
South Horizon,114.15,22.24
E-Max -,114.2,22.32
Citygate II,113.94,22.29
V City,113.97,22.4
254 Des Voeus Road Central,114.15,22.29
Knutsford Steps,114.17,22.3
One Kowloon,114.21,22.32
Home Square,114.19,22.39
Lan Kwai Fong,114.16,22.28
Maritime Square,114.11,22.36
YOHO MALL II,114.04,22.45
China Hong Kong City,114.17,22.3
Prosperity Tower,114.16,22.28
New Jade Shopping Arcade,114.24,22.26
Element,114.16,22.3
Airport - Gate 44,113.93,22.31
Bank Centre Mall,114.17,22.32
Mui Wo,114,22.27
Airport - Gate 21,113.93,22.31
E Plaza,114.23,22.31
Pacific Plaza,114.14,22.29
大埔超級城,114.17,22.45
New Town Plaza,114.19,22.38
Pacific Place Shop 106,114.16,22.28
New Town Plaza YATA,114.19,22.38
Midland Centre,114.15,22.29
No.8 Observatory Road,114.18,22.3
Panda Place,114.12,22.37
Exchange Square,114.16,22.28
Airport - Gate 16,113.93,22.32
One Bay East,114.21,22.32
Wan Chai Tower,114.17,22.28
Bank Of China Tower,114.16,22.28
Three Garden Road,114.16,22.28
W Square,114.18,22.28
Citywalk,114.11,22.37
Kowloon City Plaza,114.19,22.33
IFC II - 2F - Relocation,114.16,22.29
MTR Central,114.16,22.28
Mirror Tower,114.18,22.3
Metro Town,114.25,22.3
Man Yee,114.16,22.28
Bonham Road,114.14,22.28
Science Park,114.21,22.42
MTR - Tai Po Market,114.17,22.44
AIA Tower,114.19,22.29
金鐘廊 LAB,114.16,22.28
Airport - Terminal 1,113.94,22.31
Maxim's Centre,114.15,22.34
Millennium City 1,114.22,22.31
iSQUARE,114.17,22.3
Hotel ibis,114.15,22.29
Gala Place (Dead),114.17,22.32
Sai Kung Chan Man Street,114.27,22.38
Landmark North,114.13,22.5
Midfield Concourse Airport,113.92,22.31
Hong Kong University Student Union,114.14,22.28
Airport - North Satellite Concourse,113.93,22.32
One Island South,114.17,22.25
Aberdeen Centre,114.15,22.25
Windsor House,114.19,22.28
Prince Tower,114.17,22.3
"Pacific Place, Central",114.16,22.28
InnoCentre,114.18,22.34
Lei King Wan,114.22,22.28
Cityplaza,114.22,22.29
K 11,114.17,22.3
Causeway Bay Plaza 2,114.18,22.28
Sun Arcade,114.17,22.3
Metro Plaza II,114.13,22.36
Kolour,114.12,22.37
Gala Place,114.17,22.32
Plaza Hollywood,114.2,22.34
Hong Kong University Library,114.14,22.28
Harbour Crystal Centre,114.18,22.3
Rumsey Street,114.15,22.29
Duddell Street,114.16,22.28
Cyberport L4,114.13,22.26
Sing Woo Road,114.19,22.27
Cyberport L3,114.13,22.26
The Henry,114.14,22.29
Airport - Skyplaza,113.94,22.32
Peak Galleria,114.15,22.27
Times Square 9/F,114.18,22.28
Cultural Centre Auditoria Building,114.17,22.29
APM,114.23,22.31
Telford Plaza,114.21,22.32
Mikiki,114.2,22.33
Granville Road,114.17,22.3
Austin Road,114.17,22.3
Olympian City 2,114.16,22.32
New Kowloon Centre,114.16,22.32
Harbour City 3/F,114.17,22.3
3 Jordan Road,114.17,22.31
Metro City II,114.26,22.32
Nathan Hotel,114.17,22.31
Ocean Centre 4/F (Closed),114.17,22.3
Lok Fu Plaza,114.19,22.34
Cheung Sha Wan Plaza,114.15,22.34
Whampoa Garden - Shop 5 Site 4,114.19,22.3
Hong Kong Baptist University,114.18,22.34
Pioneer Centre,114.17,22.32
Sai Yee Street,114.17,22.32
MegaBox L6,114.21,22.32
Festival Walk AMC,114.17,22.34
Ngong Ping,113.9,22.26
Citygate,113.94,22.29
Langham Place,114.17,22.32
One Victory,114.17,22.32
Luk Yeung Galleria,114.12,22.37
Wu Kai Sha,114.24,22.43
Sunshine City Plaza,114.23,22.42
Fo Tan,114.19,22.4
Tuen Mun Town Plaza Phase 1,113.98,22.39
Star House B/F,114.17,22.29
Sham Tseng,114.06,22.37
Popcorn Mall,114.26,22.31
Asia World Expo,113.94,22.32
Kerry Centre,114.21,22.29
AIA Hong Kong Tower,114.21,22.29
Tong Chong Street,114.21,22.29
City One,114.2,22.39
Stanley Plaza G/F,114.21,22.22
Taikoo Shing,114.21,22.29
Tin Hau,114.19,22.28
Tsuen Wan Plaza,114.11,22.37
Trend Plaza,113.98,22.39
Gloucester Road,114.19,22.28
Sun Hung Kai Centre,114.18,22.28
Hopewell Centre,114.17,22.27
Yuen Long Plaza,114.02,22.44
Yuen Long Plaza Relo,114.02,22.44
AIA Tower-,113.54,22.19
Studio City,113.56,22.14
Sun Star City,113.54,22.19
Wynn Palace,113.54,22.2
Taipa,113.56,22.15
City of Dreams,113.56,22.15
Venetian,113.56,22.15
St. Paul Ruin,113.54,22.2
Sands,113.55,22.19
Wynn II,113.55,22.19
Wynn Palace BOH,113.54,22.2
Sands Cotai Central,113.56,22.15
One Central,113.55,22.19
Parque 93,-74.05,4.68
TORRE 95,-74.05,4.68
Calle 67,-74.06,4.65
C.C. GRAN ESTACION,-74.1,4.65
Conecta,-74.12,4.68
Usaquén,-74.03,4.7
Zona-T,-74.05,4.67
WTC Colombia,-74.04,4.68
Centro Internacional,-74.07,4.62
ZONA G,-74.06,4.65
Milla De Oro,-75.57,6.2
Aeropuerto Juan Santamaria,-84.12,9.6
Plaza Real - Alajuela,-84.21,10.01
Distrito 4,-84.16,9.94
Lincoln Plaza.,-84.06,9.96
Plaza Itscatzu,-84.15,9.94
Sabana,-84.11,9.94
Los Yoses,-84.06,9.93
PLAZA DE LA CULTURA,-84.08,9.93
Avenida Escazú,-84.14,9.94
Plaza Freses,-84.04,9.91
CRONOS PLAZA,-84.02,9.91
Renaissance Curacao - Curacao,-68.94,12.11
Renaissance Curacao Hotel-Cafe,-68.94,12.11
Curacao Beach Resort,-68.9,12.09
Engomi Student Residence,33.32,35.16
Themistokli,33.36,35.16
Lydras,33.36,35.17
Shacolas Emporium Park,33.37,35.13
Lemessos Germasoia,33.09,34.7
Lemessos,33.05,34.68
Lemessos Enaerios,33.06,34.68
Lemessos Enaerios,33.04,34.68
